Index,landing_site
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-11-10,kukuu
,
2021-11-19,sumbauranga
2021-11-19,sumbauranga
2021-11-19,sumbauranga
2021-11-19,sumbauranga
2021-11-21,sumbauranga
2021-11-21,sumbauranga
2021-11-21,sumbauranga
2021-11-22,sumbauranga
2021-11-22,sumbauranga
2021-11-22,sumbauranga
2021-11-22,sumbauranga
2021-11-24,tumbuyu
2021-09-30,tumbuyu
,
,
,
,
,
,
,
,
2021-11-29,msuka
2021-11-29,msuka
,
,
,
,
,
2021-11-29,kizimkazi dimbani
2021-11-29,kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-01,msuka
2021-12-01,msuka
2021-12-01,msuka
2021-12-02,kizimkazi dimbani
2021-12-02,kizimkazi dimbani
2021-12-02,msuka
,
,
,
,
,
,
,
2021-12-08,kizimkazi dimbani
,
,
,
,
2021-12-08,msuka
2021-12-08,msuka
2021-12-09,kizimkazi dimbani
2021-12-09,kizimkazi dimbani
2021-12-09,kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-13,msuka
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-15,msuka
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-16,kizimkazi dimbani
,
,
,
,
,
2021-12-16,msuka
,
,
2021-12-18,sumbauranga
2021-12-18,sumbauranga
2021-12-18,sumbauranga
2021-12-17,sumbauranga
2021-12-17,sumbauranga
2021-12-17,sumbauranga
2021-12-17,sumbauranga
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-22,msuka
2021-12-22,msuka
,
2021-12-22,sumbauranga
2021-12-22,sumbauranga
2021-12-22,sumbauranga
2021-12-20,sumbauranga
,
2022-01-03,kizimkazi dimbani
,
2022-01-03,mazizini
,
,
,
,
,
2022-01-04,mazizini
2022-01-04,mazizini
2022-01-04,mazizini
,
,
,
,
,
,
,
,
,
2022-01-05,msuka
2022-01-06,kizimkazi dimbani
,
2022-01-06,msuka
,
2022-01-05,kizimkazi dimbani
,
,
2022-01-10,kizimkazi dimbani
2022-01-10,kizimkazi dimbani
2022-01-10,msuka
2022-01-10,msuka
2022-01-10,msuka
2022-01-10,msuka
,
,
,
,
,
,
2021-12-20,sumbauranga
2021-12-20,sumbauranga
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-01-12,mazizini
,
2022-01-13,msuka
2022-01-13,msuka
,
,
,
,
2022-01-16,sumbauranga
2022-01-16,sumbauranga
2022-01-16,sumbauranga
,
,
,
,
,
,
,
,
2022-01-17,msuka
,
,
,
,
,
,
2021-11-24,shangani
2021-11-24,shangani
2021-11-24,shangani
2021-11-29,shangani
2021-11-29,shangani
2021-11-29,shangani
2021-12-01,shangani
2021-12-01,shangani
2021-12-01,shangani
2021-12-13,shangani
2021-12-13,shangani
2021-12-15,shangani
2021-12-21,shangani
2021-11-12,shangani
2021-11-12,shangani
