Index,Landing site
2021-11-29,Msuka
,
,
,
,
,
2021-11-29,Kizimkazi dimbani
2021-11-29,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-01,Msuka
2021-12-01,Msuka
2021-12-01,Msuka
2021-12-02,Kizimkazi dimbani
2021-12-02,Kizimkazi dimbani
2021-12-02,Msuka
,
,
,
,
,
,
,
2021-12-08,Kizimkazi dimbani
,
,
,
,
2021-12-08,Msuka
2021-12-08,Msuka
2021-12-09,Kizimkazi dimbani
2021-12-09,Kizimkazi dimbani
2021-12-09,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-13,Msuka
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-15,Msuka
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-16,Kizimkazi dimbani
,
,
,
,
,
2021-12-16,Msuka
,
,
2021-12-18,Sumbauranga
2021-12-18,Sumbauranga
2021-12-18,Sumbauranga
2021-12-17,Sumbauranga
2021-12-17,Sumbauranga
2021-12-17,Sumbauranga
2021-12-17,Sumbauranga
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2021-12-22,Msuka
2021-12-22,Msuka
,
2021-12-22,Sumbauranga
2021-12-22,Sumbauranga
2021-12-22,Sumbauranga
2021-12-20,Sumbauranga
,
2022-01-03,Kizimkazi dimbani
,
2022-01-03,Mazizini
,
,
,
,
,
2022-01-04,Mazizini
2022-01-04,Mazizini
2022-01-04,Mazizini
,
,
,
,
,
,
,
,
,
2022-01-05,Msuka
2022-01-06,Kizimkazi dimbani
,
2022-01-06,Msuka
,
2022-01-05,Kizimkazi dimbani
,
,
2022-01-10,Kizimkazi dimbani
2022-01-10,Kizimkazi dimbani
2022-01-10,Msuka
2022-01-10,Msuka
2022-01-10,Msuka
2022-01-10,Msuka
,
,
,
,
,
,
2021-12-20,Sumbauranga
2021-12-20,Sumbauranga
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-01-12,Mazizini
,
2022-01-13,Msuka
2022-01-13,Msuka
,
,
,
,
2022-01-16,Sumbauranga
2022-01-16,Sumbauranga
2022-01-16,Sumbauranga
,
,
,
,
,
,
,
,
2022-01-17,Msuka
,
,
,
,
,
,
2021-11-24,Shangani
2021-11-24,Shangani
2021-11-24,Shangani
2021-11-29,Shangani
2021-11-29,Shangani
2021-11-29,Shangani
2021-12-01,Shangani
2021-12-01,Shangani
2021-12-01,Shangani
2021-12-13,Shangani
2021-12-13,Shangani
2021-12-15,Shangani
2021-12-21,Shangani
2021-11-12,Shangani
2021-11-12,Shangani
2021-11-13,Shangani
2021-11-13,Shangani
2021-11-13,Shangani
2021-12-06,Shangani
2021-10-21,Shangani
2021-10-22,Shangani
2021-10-27,Shangani
2021-10-08,Shangani
2021-10-04,Shangani
2021-10-06,Shangani
2021-10-13,Shangani
2021-10-13,Shangani
2021-10-13,Shangani
2021-09-22,Shangani
2021-09-22,Shangani
2021-09-13,Shangani
2021-09-27,Shangani
2021-09-27,Shangani
2021-08-30,Shangani
2021-08-30,Shangani
,
2022-01-19,Msuka
,
,
,
,
,
,
,
,
,
,
2022-01-19,Mazizini
,
,
,
,
,
,
,
2022-01-24,Kizimkazi dimbani
2022-01-24,Kizimkazi dimbani
2022-01-24,Kizimkazi dimbani
2022-01-24,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
2022-01-26,Kizimkazi dimbani
2022-01-26,Kizimkazi dimbani
2021-08-11,Shangani
2021-08-11,Shangani
2021-08-16,Shangani
2021-08-16,Shangani
2021-08-20,Shangani
2021-08-20,Shangani
2021-09-01,Shangani
2021-09-01,Shangani
2021-09-01,Shangani
2021-09-03,Shangani
2021-09-03,Shangani
2021-09-03,Shangani
2022-01-24,Shangani
2022-01-24,Shangani
2022-01-27,Kizimkazi dimbani
2022-01-27,Kizimkazi dimbani
,
,
,
,
,
2022-01-31,Kizimkazi dimbani
,
,
,
,
,
2022-02-01,Msuka
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-02-02,Kizimkazi dimbani
,
,
,
,
,
,
,
2022-02-03,Msuka
2022-02-03,Msuka
,
,
2022-02-07,Kizimkazi dimbani
2022-02-07,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2022-02-08,Msuka
2022-02-08,Msuka
2022-02-09,Kizimkazi dimbani
2022-02-09,Kizimkazi dimbani
2022-02-09,Kizimkazi dimbani
2022-02-09,Kizimkazi dimbani
,
,
,
,
,
,
,
,
2022-02-14,Kizimkazi dimbani
2022-02-14,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
2022-02-16,Kizimkazi dimbani
2022-02-16,Kizimkazi dimbani
,
,
,
,
,
2022-02-17,Msuka
2022-02-18,Mazizini
2022-02-21,Kizimkazi dimbani
2022-02-21,Kizimkazi dimbani
,
,
,
,
,
,
,
,
,
,
,
2022-02-15,Shangani
2022-02-15,Shangani
,
,
,
,
,
2022-02-23,Kizimkazi dimbani
2022-02-23,Kizimkazi dimbani
2022-02-23,Kizimkazi dimbani
2022-02-28,Kizimkazi dimbani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Bwawani
2022-03-01,Msuka
2022-03-01,Msuka
2022-03-01,Msuka
2022-03-01,Msuka
,
2022-03-03,Kizimkazi dimbani
2022-03-03,Msuka
2022-03-03,Msuka
2022-03-03,Msuka
2022-03-03,Msuka
2022-03-04,Shangani
,
,
,
,
,
,
2022-03-08,Msuka
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-09,Kizimkazi dimbani
,
,
2022-03-10,Msuka
2022-03-10,Msuka
2022-03-10,Msuka
2022-03-10,Msuka
2022-03-10,Msuka
2022-03-09,Shangani
2022-03-08,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
2022-03-14,Bwawani
,
2022-03-12,Shangani
2022-03-14,Kizimkazi dimbani
2022-03-08,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
2022-03-15,Bwawani
,
,
2022-03-15,Msuka
2022-03-15,Msuka
2022-03-15,Msuka
2022-03-15,Msuka
2022-03-07,Tumbuyu
,
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
2022-03-08,Bwawani
